# mode    freq(cm-1)    alpha    beta2    activity
021   609.27619  -4.4205022  127.6201874  1772.6790879
022   607.71449   0.2935077   6.5233299  49.5399137
023   605.15438  -1.0697369  79.6945411  609.3569518
024   600.78868   1.6874872  25.0723137  303.6487829
025   596.28895  -1.2351914  43.3755714  372.2854000
026   594.06644  -0.5995488   1.2474100  24.9075123
027   589.55297  -1.3206719  10.5211292  152.1357411
028   587.44476   2.3951561  26.5911298  444.2926822
029   583.09372  -7.2265202  594.7061583  6512.9598240
030   579.74812   2.9985133  86.1544309  1007.6797149
031   574.73341  -2.1353282  20.8945270  351.4448799
032   573.54893   1.3714085  35.2033759  331.0578943
033   569.15787   0.5290360   2.3125433  28.7823642
034   565.60778  -4.2338580  24.2952693  976.7168005
035   565.03881  -0.3720095   1.4553860  16.4152997
036   560.91148   2.7723241  465.9751068  3607.6858961
037   559.48183  -5.1188458  548.9751579  5021.9423289
038   558.73525  -1.5552743  186.7456521  1416.0690777
039   554.63302   4.5435713  235.9861223  2580.8846576
040   551.06486  -3.6053238  84.3208028  1175.1718050
041   548.17835   1.5759077  34.8967933  356.0343756
042   543.98677  -2.4902970  55.1869344  665.3796091
043   541.32514  -2.9417897  61.6269172  820.8241246
044   540.29466  -3.5054597  230.3756982  2165.6010351
045   539.00189   1.0476198   3.1013309  71.0971431
046   532.78972  -3.0355851  78.9093155  967.0301578
047   530.32215  -0.3895470   7.3987523  58.6198769
048   528.15528  -4.6135956  239.5555549  2634.7257854
049   525.06042  -3.9908518  129.3963574  1622.4849198
050   523.39386   0.6572586   1.3428366  28.8393579
051   519.21527  -0.7185140  44.5111651  334.8099629
052   515.43000   8.0614098  381.8380873  5597.2513557
053   514.68708   0.5239290   4.1016236  41.0639346
054   510.38180   2.0677423  20.3130722  334.5916306
055   509.49366  -5.0667354  195.2922697  2522.2772091
056   509.35003   1.4517966  32.3946147  321.6094017
057   504.81908   4.4575381  203.2331585  2316.7661577
058   503.96202  -0.9833325   7.0642816  92.9623997
059   502.77560   8.0957986  304.1287617  5078.2892739
060   498.98118  -4.1896417  375.4503371  3418.0417509
061   494.76424   4.9602157  198.3300359  2495.4785198
062   493.57174   0.9021354  13.5954868  131.7915838
063   491.65980   3.1992036  91.5309266  1101.2871398
064   491.29873   0.5509931   5.3840056  51.3497443
065   486.01322  -7.2843686  443.2240872  5490.3597657
066   483.66682  -5.6306047  172.6610316  2635.2941389
067   482.26959   4.6349598  98.8834919  1658.9128000
068   481.99572   1.1935574  69.2791053  549.0598043
069   480.78824  -0.2248117   7.8327550  57.1035982
070   478.00329   0.3858290   6.0343985  48.9396691
071   472.77575   0.2877262   4.7886731  37.2460984
072   471.99304  -8.0043716  391.2778017  5622.0930157
073   470.74588  -2.2011538  20.1890129  359.3516055
074   469.48298   0.0185923  16.5279208  115.7110010
075   468.60973  -0.7414899   2.2741967  40.6607040
076   465.15607   3.3443725  142.3691878  1499.9015632
077   461.63462   1.0364589   1.7185377  60.3708782
078   457.61087  -2.0591236   4.5043743  222.3301770
079   456.29525  -1.6796729  27.4617006  319.1904507
080   454.96578   1.1647342   0.7818830  66.5204367
081   453.28662  -0.7020648  113.7923870  818.7269812
082   451.87418  -1.8781419   2.2589314  174.5462837
083   449.30513   3.2851982  44.5750605  797.6891390
084   445.27242   0.7294411   4.8737665  58.0601586
085   444.98262  -2.4396278  28.9098159  470.1989922
086   443.80191   4.8766253  179.1491808  2324.2106036
087   439.23218   7.2633877  417.1409163  5294.0424793
088   438.92391  -7.3547543  617.4582853  6756.3664724
