# mode    freq(cm-1)    alpha    beta2    activity
020   603.41403   0.9317702   9.3588954  104.5810765
021   600.41688   3.5531179  17.3489266  689.5515826
022   598.96044   0.7455895  12.8732967  115.1287433
023   590.79064  -2.1027825  39.1818129  473.2489284
024   585.48048   0.5765772   3.9728464  42.7697813
025   583.18594   0.0297414   3.9717369  27.8419632
026   581.92953   0.6205470   4.6726931  50.0373865
027   578.15017  -0.1249201   4.0455637  29.0211726
028   575.07651  -0.4589807   5.9339890  51.0177698
029   569.14280  -0.1827243   7.7063750  55.4470920
030   566.33329  -2.1031678   9.7529730  267.3199810
031   565.02092  -0.6131863   1.9749529  30.7445576
032   560.45606  -0.5261944   2.1613293  27.5889286
033   549.87708  -0.5328706   2.2624658  28.6150585
034   547.68429  -0.6296039  33.7864626  254.3432851
035   544.07818   0.4116586   7.4780962  59.9724979
036   543.34298  -0.0499066   1.2485524   8.8519470
037   537.54312  -0.1370636   5.2112385  37.3240585
038   535.28228  -1.2867032   2.7451930  93.7185847
039   533.44382   3.3468534  83.5584165  1088.9731612
040   529.98577   0.9442114  12.0694663  124.6053475
041   525.96958   0.3074323   7.3903576  55.9856620
042   523.25783   0.4654265  10.3411436  82.1359854
043   521.79315  -2.9459224  51.5712268  751.5292386
044   518.17545  -0.3706925  13.0737565  97.6998784
045   513.97691  -2.3613648  10.5452782  324.7389110
046   513.50879  -1.8243773   1.3682595  159.3536827
047   508.86616   0.2295912  13.1565399  94.4678235
048   506.50030   0.3276120  15.3369607  112.1885573
049   504.52796  -1.6311312  17.5694198  242.7124429
050   500.17677  -1.3023719   1.7368036  88.4853962
051   499.14546  -0.2616613   1.5734751  14.0953240
052   497.48526   2.5137694   4.5195748  315.9936741
053   495.60176   1.1824589   2.4216373  79.8708684
054   491.62105  -0.1342328   5.2161647  37.3239831
055   489.77705  -0.2715707   4.4512672  34.4776485
056   487.18022  -0.3795355   6.7513886  53.7418446
057   485.59247   0.9290995   9.7788971  107.2974422
058   483.07287  -0.0829694   1.6366635  11.7664205
059   479.37237  -2.0369635  17.6704125  310.4078092
060   477.99764   0.3252400   5.4555869  42.9492569
061   475.76468   1.7214286  13.1196193  225.1865671
062   473.86902   0.4318731   4.4028320  39.2129721
063   470.07902  -0.7275737   5.1360444  59.7736662
064   467.83656  -0.4213754   2.1217232  22.8421391
065   465.08633   1.5337443  10.1230560  176.7181156
066   460.88756   1.5507008  13.5164286  202.8252853
067   460.06381  -0.7874760   7.2205140  78.4489269
068   456.19690  -0.4628428   6.1200342  52.4802960
069   454.66059   1.1008455  14.2891005  154.5574425
070   450.82476  -0.5441291   1.2727023  22.2323555
071   448.65922  -1.8615025  12.7099162  244.9030304
072   447.69628   1.9762926  59.5082348  592.3156117
073   445.30142   0.6816017  43.1665399  323.0719184
074   444.90377  -0.3169457   3.3604714  28.0437566
075   443.12971  -0.2548280   7.5629002  55.8624808
076   438.86195   0.6786314   3.5932115  45.8768047
077   437.08980  -1.1433932   8.3670591  117.4000748
078   434.04787  -1.5380163  14.9736092  211.2624958
079   432.79538   0.3903719   4.2110436  36.3348656
080   431.03784  -1.5089832   2.5064278  120.0113586
081   425.44906  -0.3611469   3.7976413  32.4527090
082   424.77713   1.1625472   4.0130692  88.9097024
083   424.16113  -2.6357367  42.1768128  607.8575487
084   419.72155  -0.9796167   6.0896173  85.8115238
085   417.30984  -1.3266179  14.2190657  178.7296366
086   413.99672  -0.0556704   2.9490754  20.7829920
087   412.08314  -1.7363982  46.6648024  462.3321587
088   410.13307  -1.2451520   4.5175884  101.3912735
089   408.57054  -0.5706438   7.8171055  69.3732859
090   407.44185   1.5272341   2.7952289  124.5265878
091   405.88466  -0.9828981   4.8988700  77.7660781
092   404.62149  -0.7895478   0.5467192  31.8793896
