# mode    freq(cm-1)    alpha    beta2    activity
144   301.77489   0.9434060  71.8393995  542.9264697
145   299.95236  -0.6540809  13.7197099  115.2899490
146   296.87915  -0.7186880   8.6584463  83.8521860
147   295.58129   0.2992058   5.3460147  41.4506883
148   291.34756   0.7045920  24.7756841  195.7700352
149   290.70156  -0.3077227   6.9841473  53.1502267
150   290.25120  -0.9024299  22.1389723  191.6198911
151   287.85793  -1.3847783   3.5149372  110.8970523
152   286.92389   0.4181402   8.3419082  66.2612107
153   285.25067   0.1331342   1.5324648  11.5248656
154   281.14007  -1.9922775  13.1573870  270.7143492
155   280.56804   1.6378358  11.1094063  198.4786228
156   278.74053   2.0298682   6.9520238  234.0805957
157   277.28158   0.0045409   1.1307656   7.9162871
158   273.83170   0.3915574   4.4326834  37.9280585
159   273.38747   0.5837117   9.3319773  80.6562124
160   271.64331  -0.3766360   6.0464883  48.7088791
161   269.59203   0.1185231   1.2679182   9.5075749
162   267.09110  -2.7219986  13.2031926  425.8397746
163   264.31013  -0.0657325   1.1840251   8.4826101
164   262.75918  -0.4321358   1.5682811  19.3813285
165   262.65593   0.1844506  25.3140454  178.7293092
166   259.50092   0.4142790   0.6382312  12.1908387
167   257.31546  -1.5211150   1.0499159  111.4699962
168   254.76706   0.7635437   9.6679221  93.9104086
169   253.61716   0.3165651   8.7220730  65.5641154
170   251.01797  -0.1026892  35.9116051  251.8557637
171   247.03976  -1.5067146   6.6262874  148.5425159
172   245.69734  -0.3895747   4.1412059  35.8180218
173   242.29252  -0.7237322  11.1173091  101.3916364
174   240.94455   0.8437149  13.8695618  129.1203997
175   238.87216   0.9564951   2.7908801  60.7058866
176   237.02010   0.5448000  20.3627187  155.8953498
177   234.69093   0.4398891   1.6702023  20.3990238
178   232.74891   1.0663633   1.5565247  62.0665569
179   230.31917   1.3135133   2.1470379  92.6685412
180   228.23829  -0.0086490   1.2411888   8.6916881
181   223.07389   0.4722618   3.8098800  36.7055667
182   221.01624   1.3003181  11.5716366  157.0886760
183   220.81369  -0.3205207   4.7814864  38.0934135
184   218.25667   1.2045417  10.8951657  141.5575943
185   215.87052  -0.2902477   4.2401661  33.4721305
186   213.33134   0.9707596   3.8103621  69.0793746
187   211.68479  -0.9214619   2.5855639  56.3080899
188   208.18641   1.0019933   1.0301484  52.3906134
189   204.80398   1.4009288  15.1993549  194.7125503
190   202.19643  -1.3722653   2.3378237  101.1048122
