# mode    freq(cm-1)    alpha    beta2    activity
145   344.27057   0.4473150  13.2175872  101.5271911
146   343.03841  -1.2163668   2.9779730  87.4254779
147   342.71243   2.1955956  56.2370501  610.5881610
148   339.57004  -1.4905300  15.0575107  205.3781593
149   339.00078   0.4958305   5.9073316  52.4144771
150   336.64163   1.4922803   9.2581375  165.0174812
151   335.49416  -2.5200575   4.0918658  314.4240957
152   332.45188   2.6867777  82.8505705  904.7988300
153   329.97715  -0.8887174  16.8158849  153.2530354
154   327.78228  -0.3449232   0.8092301  11.0183503
155   326.75057  -0.0643122   6.2287200  43.7871627
156   325.97619   1.0004174  14.6246383  147.4100390
157   322.55601   0.0984936   4.7989471  34.0291742
158   319.54681  -0.6879575   0.6316020  25.7190629
159   318.66738   1.2757352  21.7449033  225.4518325
160   317.22897  -0.9932221   2.3964796  61.1674164
161   315.82670  -0.9612071   8.4987937  101.0679112
162   313.46430   1.2230339  33.3871100  301.0213090
163   312.82181   0.6528430   3.5440446  43.9874894
164   310.17911  -0.1145239   3.5685732  25.5702196
165   306.54032   1.0587551   3.3431960  73.8456764
166   304.78708   0.3168994   4.3503630  34.9716757
167   301.85678   1.0267909   4.4025169  78.2610954
168   299.40928  -0.0513062   8.8854829  62.3168354
169   298.43213  -0.8555528   0.7251047  38.0144117
170   296.51256   0.4957333   0.7389415  16.2314101
171   294.00618   0.3426664  15.8930851  116.5355079
172   292.61057   0.8338692   5.5339867  70.0281092
173   291.92954  -0.5040675  13.8174168  108.1556986
174   289.78234  -0.3457521   1.7803107  17.8416789
175   287.71901  -0.7132364  14.0500265  121.2419644
176   286.38346   1.0425924   6.7919547  96.4586296
177   285.19751   0.2150937   0.9637368   8.8280954
178   283.61553   0.0601016   4.0843782  28.7531970
179   282.61120   0.0181938   6.9732630  48.8277368
180   280.56338  -1.1455066  36.1685852  312.2284400
181   276.30118   0.7143099   8.3130666  81.1522070
182   275.37728   1.3092237  17.2496367  197.8804576
183   274.31543   0.4629911   3.8942578  36.9060396
184   273.01210   0.2231455   0.5466952   6.0675932
185   267.27283   0.3890214   4.7348921  39.9544383
186   266.15021  -2.2438246  33.7924267  463.1106817
187   265.14733   0.4893083   1.8304647  23.5872714
188   263.06264   1.3015565   2.1305308  91.1459336
189   261.51392  -0.6973311   8.1663065  79.0463245
190   260.37351  -0.2886218   2.6898117  22.5772957
191   257.85811  -0.1901835   1.3017508  10.7398954
192   256.45534  -0.1520413   7.0264336  50.2252805
193   255.77232   0.5096576   1.7625129  24.0263796
194   254.10374  -0.4810089   7.3202748  61.6535558
195   251.95999   0.7276755  19.0416985  157.1199097
196   249.35616   0.5265297   8.5808088  72.5411720
197   247.57278  -1.0185433   1.1978322  55.0691952
198   246.39753   0.4468060   5.1491631  45.0277453
199   244.09715  -1.2027628   4.8275635  98.8916689
200   241.93726   0.2145818   5.8264675  42.8573137
201   240.31928  -0.1138454   2.0338614  14.8202641
202   235.56925  -1.1763775   3.4403941  86.3566349
203   231.15760  -0.7960307   3.4153319  52.4222396
204   226.31989   0.9518782   6.3550223  85.2584042
205   225.48372  -0.5549136   4.9128923  48.2470581
206   223.69209  -0.5858283   3.6513212  41.0030136
207   222.28623   0.0606156   0.7362487   5.3190821
208   220.50829   0.4187239   7.1130724  57.6813436
209   219.38141  -1.5324478   3.5549699  130.5626279
210   218.03441   0.4466567   5.5794503  48.0337535
211   213.40386   1.3981912  28.5221888  287.6275592
212   209.63054   0.2247530   4.9562384  36.9667941
213   207.52836   0.5905909  15.9277209  127.1899392
214   205.54967   1.8158846   2.8281848  168.1819475
215   203.18310  -1.1114736  10.2500858  127.3424108
