# mode    freq(cm-1)    alpha    beta2    activity
021   610.09995   7.4365465  227.7998641  4083.1991089
022   606.36181   2.4547166  12.8676514  361.2270808
023   600.52580  -4.0684535  269.0007371  2627.8592982
024   599.29380  -2.1173990  88.9144052  824.1528790
025   597.45544   9.0532662  608.9475412  7950.9060505
026   594.37033   6.5856582  749.1171824  7195.5105066
027   593.55210   4.3771035   3.2550134  884.9416810
028   585.21609   1.4066374  259.6028280  1906.2580867
029   584.95279   0.1348726  34.4774241  242.1605462
030   578.45281   6.3741764  100.8988683  2534.6476816
031   574.53682   4.9065154  129.2442974  1988.0352816
032   573.61439  -3.7216766  109.7781338  1391.7363822
033   572.22507  -1.2593023  12.6862693  160.1667861
034   568.39776   2.1097505  17.1181789  320.1243660
035   564.96967  -1.4877537  35.8490991  350.5471981
036   563.38299   3.2554997  99.1854500  1171.2206610
037   561.85964   0.7329825  83.8330243  611.0080207
038   558.17462  -0.2073470  21.1643276  150.0849678
039   556.57003   1.7625656  41.0446869  427.1114952
040   550.02118   0.5473596   1.7314183  25.6020407
041   547.91526   0.6334015  193.6828559  1373.8338759
042   547.13300   2.3955861  157.1782336  1358.4951130
043   543.01419  -3.8341877  93.2312755  1314.1637059
044   542.25833  -7.4106831  53.2651594  2844.1762201
045   540.04346  -5.0652211  213.9328213  2652.0706698
046   536.00479  -2.7737653  37.6929854  610.0707361
047   534.56987   3.0155562  500.5307282  3912.9261707
048   531.29517   0.9322894  28.0258026  235.2929793
049   526.78454  -6.3608124  443.0754957  4922.2255451
050   524.84023  -4.5619389  48.6752602  1277.2347324
051   523.96463   4.6037523  33.4810421  1188.1213721
052   519.05330  -4.9818999  276.5932137  3053.0221736
053   518.60634   2.3510187  119.3824951  1084.4054674
054   515.63656   7.1036939  209.1747937  3735.0345994
055   511.66684   1.2936882  62.5274971  513.0057906
056   511.41852   0.3709570  46.6604740  332.8157260
057   510.11461  -1.0114611  42.2013355  341.4467589
058   507.85752   8.2847985  247.7982013  4823.2922758
059   505.24415  -8.5742742  224.0839898  4876.9059238
060   503.63858  -3.3776039  17.6149903  636.6742896
061   499.82011  -7.5468055  176.7658661  3800.3033593
062   498.06398  -4.3339398  381.3041130  3514.3653244
063   495.56673   3.7860370  62.6063420  1083.2778280
064   492.24293  -3.6823751  56.8285330  1007.9946283
065   491.17205   3.7881070  25.6436570  825.2445619
066   490.26056   5.9585820  128.5617799  2497.6439402
067   489.15222  -1.7490931  18.2592709  265.4846033
068   485.12192  -2.1877497  592.0666624  4359.8478239
069   484.10708  -0.5718425   3.8783394  41.8635473
070   483.62530   2.4750633  291.4779783  2316.0130712
071   482.59945   2.5556790   8.8771096  356.0570490
072   477.13777   2.5927055  41.9478599  596.1304958
073   474.81840   8.3549234  72.9244464  3651.6846226
074   473.42445  -4.3215483   3.7982155  866.9976123
075   472.83947   3.1901143  124.9719544  1332.7610090
076   468.33828   2.1111447  27.7222559  394.6177364
077   466.88486   0.2622555  65.5798298  462.1538155
078   463.34180   3.4859488  151.9107653  1610.2081229
079   462.66575  -4.5973245  32.3983101  1177.8808382
080   458.54498  -9.6647553  122.0953857  5058.0049674
081   455.02033  -4.4700360  74.0256607  1417.3346228
082   454.01104  -6.0769918  171.4907687  2862.2777177
083   450.14022   2.4222820  18.5667131  394.0022542
084   449.30779   0.5804894  38.7930662  286.7150192
085   446.65898   4.2021973  21.8157268  947.3408967
086   444.43469   4.8597080  75.5938920  1591.9115281
087   443.07088   0.7795791  13.0328593  118.5784753
088   442.02432   3.0708607  97.9324990  1109.8858285
089   440.40293  -1.5335513  51.6500895  467.3807040
