# mode    freq(cm-1)    alpha    beta2    activity
022   601.47661   0.2933288   0.7584328   9.1809097
023   592.21995   1.2977196  28.5757569  275.8137300
024   589.42473   1.2000751   3.4181427  88.7351111
025   586.15543   0.3743520   8.5480947  66.1429365
026   583.96979  -0.3939345   2.6448132  25.4969904
027   579.67417  -0.1547828   2.1157829  15.8885769
028   575.85688   1.2633097   1.8344325  84.6588406
029   574.76234  -0.4223897  29.1319962  211.9525594
030   568.10437  -0.7815567   4.4454798  58.6057477
031   562.98852  -1.4518954  13.9372606  192.4208401
032   561.51128   0.8870866   0.4561846  38.6048074
033   559.40119   1.6834569  17.7694271  251.9172179
034   557.43289  -3.6368482  73.4517116  1109.3619061
035   553.16464  -0.6273940   0.8232336  23.4756781
036   548.43453   1.6132704   5.9771279  158.9587638
037   545.62633   1.0619141   2.2515898  66.5058974
038   544.39105   1.1940763  14.8174589  167.8840271
039   540.80710   0.7097633   2.3114385  38.8494502
040   538.00243   1.3876984  22.7941282  246.2157094
041   536.03792   1.2467214   7.2332508  120.5768999
042   531.59618  -0.0806999  12.5811501  88.3611115
043   530.04221   0.0745293   4.1367635  29.2073017
044   525.73283  -1.4196719   6.4801063  136.0568177
045   524.03691   0.4745472  23.1059669  171.8755473
046   519.54999   0.2644785   1.1643966  11.2984745
047   513.29387  -0.7681481   5.4790221  64.9054758
048   511.48452   0.9385790   7.9188084  95.0735368
049   511.20496  -1.2258692   3.8291324  94.4279105
050   508.78030  -0.2789891   0.7098207   8.4713170
051   506.11338   0.2924777   5.3246421  41.1219393
052   502.94416   0.8020024   1.6436484  40.4498957
053   498.82072   2.3900678  22.1405039  412.0426091
054   496.34227   0.0858687   8.6352946  60.7788670
055   492.78415  -2.1974700   2.1975132  232.6819370
056   491.49651  -0.1908723   6.1246954  44.5123181
057   489.93213   0.2735033   5.9860136  45.2682772
058   487.50481   1.2984232   6.9318182  124.3883564
059   483.54504  -0.8786492   7.5800356  87.8013493
060   482.06853   1.0592537  18.2760280  178.4230202
061   479.96871   0.1327497   2.4437761  17.8994451
062   477.42965   0.3838672   1.6370515  18.0902921
063   476.50457   0.9073831   4.0746525  65.5730501
064   474.22723  -1.3633556  13.4802980  178.0053215
