# mode    freq(cm-1)    alpha    beta2    activity
022   602.67384   2.6267993   6.3636874  355.0491765
023   598.99413   0.6572125   2.2089683  34.8995497
024   594.56871  -1.0302915   1.1408239  55.7532930
025   590.25784  -2.9102361   1.8866081  394.3325822
026   580.24546   1.2069509   4.6115233  97.8335324
027   577.51504  -0.4068445   6.6818847  54.2217009
028   575.24410   4.0665142  68.5088914  1223.7064413
029   572.24066  -0.0995967   1.7016868  12.3581852
030   567.13200  -0.5303725   4.7029789  45.5791248
031   558.11323   2.7232503   2.4616537  350.9557170
032   557.92242  -1.5577300   2.7990180  128.7866490
033   554.82735   1.9970418  37.4606946  441.6927847
034   552.34583   1.8158798   6.3265897  192.6700104
035   547.02226  -2.1610770  12.0242891  294.3314444
036   545.96611  -1.2897447   6.7046115  121.7871451
037   539.48509   1.9797058  27.5065101  368.9111452
038   538.63068   5.1648129  76.0368385  1732.6460208
039   537.40862  -0.5199472   3.2783590  35.1140440
040   535.42656   1.6041272   8.0239356  171.9626384
041   532.13841  -0.4355135   1.5283710  19.2338370
042   529.57197  -0.0133052   8.3553095  58.4951331
043   527.05004   0.1349396  23.6269496  166.2080378
044   522.25560   0.2403298   2.9379783  23.1649777
045   520.90063   1.6010756  42.7726781  414.7636869
046   515.81541   0.1989847  37.6525262  265.3494542
047   514.15536  -0.4892450   1.0285225  17.9708871
048   513.12101   0.1192879  14.2856941  100.6401908
049   508.16286  -0.4557585   9.2243704  73.9178033
050   506.71910  -0.2900596   0.8779427   9.9316556
051   505.87713   0.2192248   1.8722737  15.2685951
052   502.14854  -0.4290756  12.6347199  96.7278039
053   496.11532  -0.4329763  12.2639364  94.2836372
054   495.27862   1.2146751  27.1885186  256.7142328
055   493.37068   0.9377201  16.8538848  157.5465445
056   491.94133   1.1644442   2.4504575  78.1700638
057   491.52016  -0.0577863  16.0286498  112.3508150
058   488.40786   0.7923516  54.7470509  411.4813018
059   484.59846   2.8171377   0.7452324  362.3485403
060   483.65002  -1.0765082  15.6258045  161.5297783
061   481.84945  -0.7568436   1.7549691  38.0613337
062   479.01661   1.2875501  33.0610959  306.0280109
063   475.64209  -1.7129394  15.8844552  243.2284487
064   472.92273   1.0335671  13.7198895  144.1109726
065   472.66907  -0.0621631   9.5615759  67.1049230
066   469.24792   2.6890428   8.8829906  387.5737340
067   465.50698  -1.0768355   2.3267092  68.4678276
068   465.41612  -0.6499032   1.2112427  27.4855385
069   463.14603   0.2498631   4.3770178  33.4485444
070   457.46513  -1.7988248   4.4839450  176.9972899
071   455.94819  -1.9277955   1.4380900  177.3044244
072   452.08998  -0.0305494  11.1406052  78.0262332
073   451.17396   1.5096654  12.4259764  189.5408611
074   450.72241   1.2542344   6.3686308  115.3700933
075   444.72519  -1.3953582   2.0511455  101.9741174
076   444.13771   0.2112211  19.7681177  140.3844696
077   442.81454   1.7799975  14.7204674  245.6208685
078   440.74543   1.2127640   2.6083172  84.4440689
079   438.13417   0.1059114  13.0587297  91.9158833
080   436.15606  -0.6612663   1.8935026  32.9318083
081   434.07324   0.0928401   9.7626065  68.7261127
082   431.44570   0.9744898   7.1167272  92.5504539
083   430.43361   1.2099652  23.9842655  233.7705706
084   426.18100   0.3233476  23.6066725  169.9516214
085   424.90419  -0.3401295   9.5294086  71.9118227
086   423.59108  -1.4481594  13.2958253  187.4432372
087   421.35705  -0.6317688  10.4831914  91.3432737
088   419.38702   0.8536564  19.8976397  172.0762925
089   416.42062  -0.0296102  33.5179232  234.6649169
090   414.68807   0.5622107  21.0953203  161.8908825
091   410.02003   0.9930610   4.9849569  79.2723592
092   406.62462  -1.3205870  14.9779338  183.3232847
093   405.25968   0.6095874   4.4260270  47.7040477
094   403.17944   0.4012873  43.5226434  311.9049202
095   401.75109   0.4496857  37.2398928  269.7790258
096   400.85994   0.6319005  13.8402326  114.8500512
097   398.75475   0.6932927   3.9944189  49.5903967
098   398.63571  -1.4242806   3.0463856  112.6105854
099   395.61019  -1.3966711  21.2961006  236.8537564
100   393.44693  -0.4012466  16.3103839  121.4176354
101   391.89613  -0.8040754   0.4450302  32.2093859
102   388.18838   1.0621962   8.9131721  113.1639362
103   387.85671   0.7596618   8.1920107  83.3129485
104   386.79988   1.1166262   9.0250400  119.2837105
105   384.97827   0.8051550  11.1749765  107.3971893
106   381.95183   0.8127717   4.2873449  59.7383134
107   380.31516  -0.3268857   4.2961032  34.8811639
108   378.60245   0.3333837   7.5118335  57.5843447
109   374.45155   0.7871548  11.3021374  106.9975303
110   373.20205   0.9016988   4.1033664  65.3113000
111   371.60739  -0.2068896  21.3462626  151.3499859
112   370.60087   0.7035166   6.5044770  67.8034384
113   368.63459   0.2464317  10.5728508  76.7427429
114   366.99599   2.5053964  10.2847633  354.4588385
115   365.71765  -0.1764880   5.9994052  43.3974972
116   364.38407   0.3305784  10.1550003  76.0026957
117   362.54983  -1.0722853   2.5887473  69.8620374
118   361.66031  -0.2180840   5.1915764  38.4812637
119   359.79779  -0.8919316  21.5996647  186.9970385
120   358.38669   0.1962418  13.3416345  95.1244291
121   357.56798  -1.5717312  15.1296103  217.0725196
122   356.65804  -0.1461752   4.3732030  31.5739441
123   355.24716   0.4615957  11.5791827  90.6424554
124   353.32236  -0.1134837  17.4073203  122.4307771
125   351.20379   0.5453250  18.9062869  145.7260803
126   349.91841  -0.6575332   5.1464420  55.4808428
127   346.58862   0.9740324   1.2714517  51.5934263
128   344.07404   0.6054847   2.5583179  34.4057536
129   343.40430   0.7713697  19.3814527  162.4456768
130   340.31889  -0.2929126   3.9991351  31.8548462
131   336.39463   1.4650494  22.0885638  251.2065877
132   336.08368  -0.7937385   1.6488318  39.8927574
133   333.79988   0.9739468   0.3353199  45.0329968
134   331.44707   0.4688146   5.3876886  47.6042424
135   330.27753   0.2833127   5.1335073  39.5465257
136   327.53164  -0.1331112   9.1637268  64.9434235
137   327.09500  -1.6888196  23.3468781  291.7731741
138   324.72522  -0.4521903  38.3880571  277.9178224
