# mode    freq(cm-1)    alpha    beta2    activity
022   595.54842   1.9985989   2.5626681  197.6865687
023   591.24704   2.0888790   1.8777306  209.4978070
024   587.76322   0.1238853   5.2649588  37.5453516
025   583.77824  -0.5620996   0.9072723  20.5689264
026   581.46357  -0.6005597   8.5457603  76.0505590
027   577.76240   1.1586662   3.3336203  83.7481759
028   572.59458  -1.2337648   1.7558613  80.7889281
029   570.57864  -0.0537015   3.4434498  24.2339221
030   565.41868  -0.2301152   1.7817816  14.8553561
031   560.84693   0.0587410  21.6982252  152.0428492
032   555.91951  -0.5808586   2.1535646  30.2578025
033   553.43711   0.2799649   1.1069738  11.2759316
034   549.22277  -0.7145953   2.5216644  40.6307428
035   547.36658  -0.9762624   0.7124997  47.8764673
036   543.47030  -0.3008985   2.8847305  24.2674084
037   541.72614  -0.2559859   0.4684960   6.2282675
038   540.03792  -0.9349290   2.0771684  53.8743287
039   537.66963  -0.5101539   4.0561814  40.1048348
040   535.62157   1.3141308   9.0169236  140.8307492
041   531.31565  -1.9475747   2.3650307  187.2423462
042   529.47199  -0.2168778   2.5270064  19.8056633
043   525.70720   0.8956719   5.5151564  74.7063598
044   524.25760  -0.6889274   7.3774494  73.0000875
045   522.60416   0.3919960  11.3141583  86.1138461
046   518.47971   0.3936967   1.7429226  19.1753285
047   517.09303   1.1879156   1.2544425  72.2825557
048   515.16231   1.1627470   0.8781721  66.9863293
049   512.69035  -0.7497754   2.5104294  42.8703445
050   509.82652   0.0917845  18.9650060  133.1341397
051   506.43748   1.0547786  14.2868215  150.0728590
052   504.24819   0.3329439   2.1724513  20.1954844
053   500.86160  -0.6014691   1.0540398  23.6577081
054   498.63342  -1.5812839   6.7144740  159.5219558
055   496.19464   0.3761304  10.8975465  82.6491582
056   494.21055  -0.2185586   9.2655766  67.0085900
057   491.00869   0.1782739   2.0314075  15.6500231
058   490.53633  -0.3625335   9.0598077  69.3330287
059   488.73492   1.3786943   2.2626063  101.3741565
060   485.83736  -1.0703479   5.5658132  90.5147048
061   483.14409   0.0654282   6.5150356  45.7978871
062   480.68163  -0.8575803   1.2647660  41.9483380
063   478.85574  -1.3989436   3.7387045  114.2378764
064   477.69656   1.0505446   3.6974883  75.5463973
065   473.54971   1.7587994   2.7761828  158.6351671
066   472.42166   0.2907976   3.8224379  30.5624112
067   469.20099  -1.1488566   1.2255518  67.9730769
068   468.24647  -0.1185335   1.4890458  11.0555790
069   466.39978  -0.9745534   3.0115817  63.8200174
070   462.06137   0.7180798   8.8402281  85.0853369
071   459.48770  -0.8022418   0.9208677  35.4077072
072   457.23677  -0.4274912   3.0409864  29.5105964
073   454.81790  -1.0266530   4.4485134  78.5703275
074   451.31057   0.6795355   0.7473281  26.0108818
075   450.16589  -1.1891226  14.4267380  164.6177337
076   447.84874   1.3095034   8.9599058  139.8852994
077   442.27077   0.3517513   2.4799330  22.9273352
078   439.24617   0.3632424   1.4748896  16.2617536
079   437.68746  -0.0298538   2.0119005  14.1234095
080   434.92807  -0.2288999   5.2638180  39.2045093
081   434.30768  -0.4314978   2.6316484  26.8001066
082   433.46235   0.1837577   2.2160903  17.0321430
083   429.67363   0.1184493   5.6116890  39.9131841
084   429.42806  -0.7019014   1.6577294  33.7740551
085   426.83582   0.7402468   1.2853264  33.6557212
086   424.92100   0.2346973   1.5359076  13.2300808
087   419.01119   0.4697695   5.1134182  45.7246786
088   416.39704   0.7728609   2.2869496  42.8877785
089   416.14630   0.1596946  10.1205621  71.9915413
090   415.19008   1.4600394   0.9632446  102.6698884
091   412.41952  -0.8236721   7.6117825  83.8120854
092   409.37405   0.1357603   1.5646487  11.7819301
093   408.49598  -0.5255225  14.4959762  113.8996576
094   406.57574  -0.2358580   2.8707071  22.5982545
095   404.91988   1.1604309  44.4517018  371.7589096
096   402.13257  -0.2535734   7.4291627  54.8976149
097   399.56894   0.5119177   0.9314507  18.3128409
098   396.71723  -0.5706671   5.8246416  55.4272347
099   394.90403   0.8808361   2.7016516  53.8258109
100   392.80454  -0.4076851   9.6962950  75.3533848
101   392.35074   0.1777730   2.3210685  17.6696251
102   390.73746   0.9467228   2.5195626  57.9697183
103   387.80063  -0.6258777   2.0409382  31.9140958
104   385.93847   0.3233430   4.4227855  35.6642808
105   384.57198   1.3643107   8.7361115  144.9132518
106   384.31710  -0.3867904   9.6845978  74.5244924
107   381.94184  -0.0632500   1.5670033  11.1490485
108   379.48112   0.2864461   2.0617724  18.1247170
109   377.19899   2.0672921  12.7602228  281.6379067
110   375.49845   0.3996733   2.5278829  24.8834250
111   373.41426  -0.2689792   8.0147813  59.3592114
112   372.52336  -0.4946474   2.4733606  28.3239464
113   370.70800  -0.8233682   3.5069476  55.0557201
114   368.97172  -0.0475310   1.8816396  13.2731411
115   367.46212  -0.1821793   3.1940156  23.8516276
116   366.17980  -0.3092826   2.8075695  23.9574941
117   365.83954  -0.2992158   3.9209777  31.4756975
118   362.02205   0.4259106   1.8594662  21.1792561
119   361.17961   0.1165241   2.5494383  18.4570717
120   359.34588   0.1297737  12.4343405  87.7982382
121   358.86104  -0.6705753   1.1031639  27.9573525
122   355.60228   0.6265752   1.6933870  29.5205501
123   355.31677  -0.2275212   4.9223193  36.7857006
124   351.90621   0.9260015   4.4237476  69.5527808
125   349.35818  -0.2403599  12.1874229  87.9117388
126   348.77902   0.4564962   3.8298899  36.1867255
127   347.49146   0.0993185   3.3034884  23.5683066
128   346.40335   0.1495419   9.7496149  69.2536292
129   342.39337  -0.0430710   0.8056016   5.7226911
130   340.58878  -1.0098226  33.4972322  280.3690044
131   340.17933   0.2200170   5.5465263  41.0040207
132   339.32580   0.6844678  10.6631334  95.7242630
133   335.14494  -0.2984746   1.3327220  13.3379721
134   333.80645   0.9230657   3.4884769  62.7616008
135   331.14063   1.1321494   1.2170964  66.1989764
136   329.52936  -1.6873617   2.5649370  146.0780907
137   327.35090  -0.7103543   5.6945823  62.5692216
138   326.93405  -1.1163624   0.8886801  62.3026855
139   323.68515   0.2859336   2.3519676  20.1428857
140   323.39418   0.0474013   2.4102369  16.9727677
141   321.03693   0.0872562   6.9594805  49.0589769
142   320.03940   0.1653587   0.2251583   2.8065648
143   318.79815  -0.0784059   1.3896817  10.0044090
144   313.24869  -1.6367759   2.2848963  136.5508711
