# mode    freq(cm-1)    alpha    beta2    activity
020   609.20226   0.3622566  12.5165758  93.5213737
021   599.68972   0.5016874   0.9060490  17.6684051
022   599.32045  -1.9318046  38.2366625  435.5907504
023   596.03062  -0.4404087   3.3415172  32.1188116
024   591.87215  -0.5951768   5.4579367  54.1461528
025   585.85360   0.9339087   3.4546375  63.4308105
026   584.50191  -0.2263446   2.1547081  17.3883919
027   579.28421   0.5717447  17.8613795  139.7397954
028   576.54717  -1.0416784   8.2582474  106.6369603
029   568.96257   1.3846322  15.0960908  191.9469180
030   564.29060   0.3688928   9.6633723  73.7672919
031   563.05992  -0.7909800   1.4171168  38.0740384
032   556.98412  -0.1137962   1.9907149  14.5177355
033   554.36944   0.2542709   2.8177947  22.6339801
034   547.84777  -1.4627386   1.5234369  106.9462506
035   542.36148  -0.8432720   2.6639057  50.6471833
036   539.23708   0.1385372   3.4342549  24.9034492
037   538.50154  -1.0770454   8.6944118  113.0620893
038   536.05773  -1.5318854   6.6983826  152.4889577
039   532.42723  -0.1130810   4.6072381  32.8260955
040   530.79562  -0.5612141   7.8004255  68.7762338
041   527.14645   1.6107365  10.0443126  187.0614350
042   523.49852  -0.8656086  15.6962385  143.5911906
043   521.53903   1.6739025   2.9753492  146.9151726
044   519.71356  -0.9520430  14.0453210  139.1046144
045   516.75542   1.1201080   1.1544707  64.5401849
046   516.57609   0.9139247  14.8763602  141.7211476
047   510.39626  -0.6381160   4.6729037  51.0339696
048   509.78012   2.0372990   5.0242849  221.9464244
049   507.05746  -1.9379091   9.2608146  233.8228341
050   501.32995   0.3313321   2.3928239  21.6899118
051   499.83402  -0.4039635   2.6660976  26.0060777
052   499.35896   0.7903822   4.4935148  59.5662876
053   498.04507  -1.5109269   4.8021873  136.3458103
054   496.61926  -0.3089782   0.2275805   5.8891024
055   490.88672   0.4175996   2.2070821  23.2970981
056   488.08815  -0.7437939  11.7721137  107.3001186
057   485.94752  -0.8897468   3.0287248  56.8252959
058   483.68631   1.0302818   6.1778271  91.0114172
059   481.11052  -0.0819911   0.7128027   5.2921328
060   478.73022  -0.6790056   4.7785978  54.1973748
061   475.95800  -0.7137655   0.6013620  27.1352853
062   473.27460   0.2240826   3.5681595  27.2367021
063   472.73413  -0.0989605   4.8743590  34.5612063
064   467.64188  -0.8704455   3.2098573  56.5643948
065   466.97517  -1.3106044   7.8215077  132.0463318
066   464.86156   1.5801834  13.6672680  208.0349523
067   461.73976  -0.7190207  12.6838469  112.0515122
068   459.47896   0.3952616   5.1467714  43.0578278
069   456.73199   0.7492523   4.2567053  55.0589921
070   455.70499   2.1147843   4.5982952  233.4421361
071   454.69031  -1.4794267   3.3488276  121.9334492
072   450.36308   0.4836044  15.3054345  117.6623345
073   446.74776  -0.0982939   5.0103301  35.5070869
074   445.76878   0.6147982   2.5991885  35.2032770
075   443.32377   0.0869425   4.1391817  29.3144267
076   440.66832   1.4790426   7.9875040  154.3530397
077   440.11618   0.1147333   3.1664356  22.7574167
078   436.57954  -0.2270001  14.7454631  105.5370494
079   435.85197  -1.4325409  10.4456156  165.4671128
080   432.18205   0.0564362   3.1528225  22.2130842
081   428.53960   0.9910709  20.2956447  186.2694788
082   427.26811  -1.8991603   0.3058167  164.4471662
083   425.27096  -0.3763773   5.2452328  43.0913256
084   420.93795  -1.2752183   9.3125431  138.3659832
085   420.55969  -2.0954266  15.7570611  307.8860028
086   418.70777   0.5137464   2.4570437  29.0763958
087   415.78221  -0.1448831   2.3821620  17.6197343
088   414.46089  -0.5077271   7.1782214  61.8479584
089   411.70044   0.6011530   0.9956530  23.2318939
090   410.16288  -0.1626427   2.7694753  20.5766964
091   405.65583   0.0813424  20.0685462  140.7775704
092   404.51324  -1.4055062   2.2180550  104.4215358
093   403.34619  -1.7173131  15.9918254  244.6551756
094   402.25620  -1.0052659  11.6041862  126.7044847
095   400.15278   0.6223740   5.5721050  56.4354599
096   397.00534   0.8424411  23.2514314  194.6968359
097   395.42344   1.0788928   4.8780521  86.5268042
098   392.65980   0.9033021   9.3548381  102.2018271
099   391.11064   0.4882752  29.6292651  218.1334254
100   387.91239   1.4342838   7.4563094  144.7668152
101   386.85749   0.8423383  19.9935335  171.8837532
102   385.29582  -2.0657842   3.2149350  214.5404462
103   382.99298  -0.9457344   4.6333295  72.6819205
104   381.13513  -0.8312941   3.0004306  52.1002580
105   377.78035   0.0665435   0.6010556   4.4066508
106   376.95459   0.7607439  18.2564359  153.8379578
107   375.30105  -0.7925478   7.5174949  80.8884022
108   374.66164  -1.8428167  13.9934103  250.7726679
109   371.55772   2.3084668   8.4050268  298.6410427
110   370.63482   0.6643854  10.9718940  96.6666173
111   369.77274  -1.3450184   6.1295121  124.3149408
112   365.32694  -3.0978363  15.5256262  540.5259177
113   363.75097   1.2194326   8.8880235  129.1318752
114   361.15653  -0.3324965  11.2677066  83.8488718
115   359.57479   1.2038148   3.5339721  89.9504545
116   357.87191  -0.8850412   3.6481945  60.7857676
117   356.47610   2.2443954  10.6868961  301.4872547
118   354.89361   0.6158813   8.5887455  77.1901576
119   352.78869  -1.0653034   1.6012539  62.2779896
120   350.64823   0.6194658   8.6815651  78.0391624
121   348.63736   0.1482257  25.8910886  182.2263088
122   347.18512  -0.4121487  15.9519902  119.3079253
